TIMESTAMP;PORTFOLIO;ΚΩΔΙΚΟΣ ΕΔΡΕΘ;ΕΝΕΡΓΕΙΑ (kWh);datetime;Μήνας
01/07/2025 00:15;GREEN_VALUE_BZ01_NDR_MS_N;26127;0.0;2025-07-01 00:15:00;2025-07
01/07/2025 00:30;GREEN_VALUE_BZ01_NDR_MS_N;26127;0.0;2025-07-01 00:30:00;2025-07
01/07/2025 00:45;GREEN_VALUE_BZ01_NDR_MS_N;26127;0.0;2025-07-01 00:45:00;2025-07
01/07/2025 01:00;GREEN_VALUE_BZ01_NDR_MS_N;26127;0.0;2025-07-01 01:00:00;2025-07
01/07/2025 01:15;GREEN_VALUE_BZ01_NDR_MS_N;26127;0.0;2025-07-01 01:15:00;2025-07
01/07/2025 01:30;GREEN_VALUE_BZ01_NDR_MS_N;26127;0.0;2025-07-01 01:30:00;2025-07
01/07/2025 01:45;GREEN_VALUE_BZ01_NDR_MS_N;26127;0.0;2025-07-01 01:45:00;2025-07
01/07/2025 02:00;GREEN_VALUE_BZ01_NDR_MS_N;26127;0.0;2025-07-01 02:00:00;2025-07
01/07/2025 02:15;GREEN_VALUE_BZ01_NDR_MS_N;26127;0.0;2025-07-01 02:15:00;2025-07
01/07/2025 02:30;GREEN_VALUE_BZ01_NDR_MS_N;26127;0.0;2025-07-01 02:30:00;2025-07
01/07/2025 02:45;GREEN_VALUE_BZ01_NDR_MS_N;26127;0.0;2025-07-01 02:45:00;2025-07
01/07/2025 03:00;GREEN_VALUE_BZ01_NDR_MS_N;26127;0.0;2025-07-01 03:00:00;2025-07
01/07/2025 03:15;GREEN_VALUE_BZ01_NDR_MS_N;26127;0.0;2025-07-01 03:15:00;2025-07
01/07/2025 03:30;GREEN_VALUE_BZ01_NDR_MS_N;26127;0.0;2025-07-01 03:30:00;2025-07
01/07/2025 03:45;GREEN_VALUE_BZ01_NDR_MS_N;26127;0.0;2025-07-01 03:45:00;2025-07
01/07/2025 04:00;GREEN_VALUE_BZ01_NDR_MS_N;26127;0.0;2025-07-01 04:00:00;2025-07
